"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","OBD Header"
"[T1] BMW Oil temp after filter","OilT","224402","(A*256+B)*0.75-48","-40","150","C","7DF"
"[T1] BMW Oil pressure absolute","OilPabs","224436","(A*256+B)","0","3500","hPa","7DF"
"[T1] BMW Oil pressure","OilP","22586F","SIGNED(A*256+B)","0","3500","hPa","7DF"
"[T1] BMW Boost pressure","Boost","224205","(A*256+B)*0.078125","0","3500","hPa","7DF"
"[T1] BMW Boost setpoint","BstSp","224AB0","(A*256+B)*0.0390625","0","3500","hPa","7DF"
"[T1] BMW Ambient pressure","AmbP","224201","(A*256+B)*0.0390625","0","3500","hPa","7DF"
"[T1] BMW Trans temp via DME (ZF8)","ATF_DME","224650","A*0.75-48","-40","150","C","7DF"
"[T1] BMW Coolant temp","CoolT","224300","A*0.75-48","-40","150","C","7DF"
"[T1] BMW Intake air temp","IAT","22580F","A*0.75-48","-40","150","C","7DF"
"[T1] BMW Intake manifold pressure","MAP","224A2D","(A*256+B)*0.078125","0","3500","hPa","7DF"
"[T1] BMW Battery voltage","BattV","22586A","(A*256+B)*0.00025+6","0","16","V","7DF"
"[T1] BMW Engine speed","RPM","224807","(A*256+B)*0.25","0","7000","1/min","7DF"
"[T1] BMW Vehicle speed","VSS","224AB1","(A*256+B)*0.0078125","0","280","km/h","7DF"
"[T1] BMW Accelerator pedal","Accel","22480B","(A*256+B)*0.00152590218967","0","100","%","7DF"
"[T2] BMW Oil temp unfiltered","OilTraw","224408","SIGNED(A*256+B)*0.1","-40","150","C","7DF"
"[T2] BMW Oil temp sump","SumpT","224425","SIGNED(A*256+B)*0.1","-40","150","C","7DF"
"[T2] BMW Oil pressure setpoint","OilPsp","225862","(A*256+B)*0.1","0","1000","kPa","7DF"
"[T2] BMW Boost pressure raw","BoostRaw","2258DD","(A*256+B)*0.078125","0","3500","hPa","7DF"
"[T2] BMW Rail pressure filtered","RailP","2258EF","(A*256+B)*0.0005","0","40","MPa","7DF"
"[T2] BMW Rail pressure setpoint","RailPsp","225837","(A*256+B)*0.0005","0","40","MPa","7DF"
"[T2] BMW Lambda actual","Lambda","225889","(A*256+B)*0.000244140625","0","2","","7DF"
"[T2] BMW VANOS inlet angle","VanIn","224506","(A*256+B)*0.1","-60","60","degKW","7DF"
"[T2] BMW VANOS exhaust angle","VanEx","224507","(A*256+B)*0.1","-60","60","degKW","7DF"
